 Parameters used:

First geneneration spectra extracted for
excitation energies between 15020.-   20. keV
corresponding to y-channels   131 -    6
 Number of spectra=  126
 Ax0 =     0.0 Ax1 =    19.4 Ay0 =  -700.0 Ay1 =   120.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=16.0 Exponent n=4.2
 Normalization= 2 Stat/Tot= 2 Areacorr.= 0
 Experimental lower gamma threshold:      200.0 keV (ch=  10)
 Upper threshold for statistical gammas:  430.0 keV (ch=  22)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = ****
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
104 11780.    36880.    19568.    17313. 9.12    1000  1.00  2.13  9.12  2.02  7.73
103 11660.    37494.    19900.    17594. 8.95    1000  1.00  2.13  8.95  2.05  7.51
102 11540.    37560.    19992.    17567. 8.76    1000  1.00  2.14  8.76  2.07  7.33
101 11420.    37759.    20423.    17336. 8.46    1000  1.00  2.18  8.46  2.09  7.14
100 11300.    38381.    20785.    17596. 8.27    1000  1.00  2.18  8.27  2.11  6.96
 99 11180.    38514.    20755.    17759. 8.14    1000  1.00  2.17  8.14  2.13  6.80
 98 11060.    38862.    21001.    17862. 7.94    1000  1.00  2.18  7.94  2.14  6.66
 97 10940.    40392.    22431.    17962. 7.55    1000  1.00  2.25  7.55  2.27  6.24
 96 10820.    41154.    23636.    17518. 7.12    1000  1.00  2.35  7.12  2.36  5.93
 95 10700.    41821.    25204.    16617. 6.62    1000  1.00  2.52  6.62  2.53  5.53
 94 10580.    43183.    26713.    16471. 6.29    1000  1.00  2.62  6.29  2.64  5.28
 93 10460.    43805.    27271.    16535. 6.09    1000  1.00  2.65  6.09  2.75  5.06
 92 10340.    43753.    26835.    16918. 6.02    1000  1.00  2.59  6.02  2.73  4.99
 91 10220.    44529.    26971.    17558. 5.94    1000  1.00  2.54  5.94  2.75  4.89
 90 10100.    42963.    26022.    16941. 5.79    1000  1.00  2.54  5.79  2.78  4.77
 89  9980.    41968.    24836.    17132. 5.78    1000  1.00  2.45  5.78  2.75  4.73
 88  9860.    40968.    23837.    17130. 5.74    1000  1.00  2.39  5.74  2.70  4.70
 87  9740.    39439.    22397.    17042. 5.74    1000  1.00  2.31  5.74  2.65  4.68
 86  9620.    37448.    20351.    17098. 5.87    1000  1.00  2.19  5.87  2.60  4.69
 85  9500.    36082.    18941.    17142. 5.95    1000  1.00  2.10  5.95  2.53  4.72
 84  9380.    33617.    16672.    16945. 6.18    1000  1.00  1.98  6.18  2.39  4.85
 83  9260.    30639.    13929.    16710. 6.63    1000  1.00  1.83  6.63  2.23  5.09
 82  9140.    27853.    11821.    16032. 6.98    1000  1.00  1.74  6.98  2.12  5.29
 81  9020.    25396.     9690.    15706. 7.65    1000  1.00  1.62  7.65  2.01  5.61
 80  8900.    22595.     7959.    14636. 8.17    1000  1.00  1.54  8.17  1.87  6.01
 79  8780.    20236.     6529.    13707. 8.80    1000  1.00  1.48  8.80  1.81  6.30
 78  8660.    17915.     5673.    12242. 8.85    1000  1.00  1.46  8.85  1.83  6.21
 77  8540.    16600.     5598.    11001. 8.21    1000  1.00  1.51  8.21  2.03  5.48
 76  8420.    16369.     6195.    10174. 7.22    1000  1.00  1.61  7.22  2.22  4.87
 75  8300.    16590.     7244.     9346. 6.18    1000  1.00  1.78  6.18  2.40  4.39
 74  8180.    18705.     9575.     9129. 5.20    1000  1.00  2.05  5.20  2.59  4.00
 73  8060.    24049.    14194.     9855. 4.46    1000  1.00  2.44  4.46  2.85  3.66
 72  7940.    32174.    20333.    11841. 4.11    1000  1.00  2.72  4.11  2.94  3.51
 71  7820.    42369.    27803.    14565. 3.90    1000  1.00  2.91  3.90  2.97  3.42
 70  7700.    51259.    34617.    16641. 3.74    1000  1.00  3.08  3.74  3.02  3.33
 69  7580.    58291.    39259.    19031. 3.70    1000  1.00  3.06  3.70  2.98  3.30
 68  7460.    62063.    41507.    20557. 3.67    1000  1.00  3.02  3.67  2.97  3.26
 67  7340.    62973.    42563.    20410. 3.58    1000  1.00  3.09  3.58  2.98  3.19
 66  7220.    64264.    43032.    21232. 3.56    1000  1.00  3.03  3.56  2.91  3.18
 65  7100.    64069.    42778.    21291. 3.52    1000  1.00  3.01  3.52  2.89  3.14
 64  6980.    65113.    43280.    21833. 3.48    1000  1.00  2.98  3.48  2.91  3.08
 63  6860.    65214.    43492.    21722. 3.41    1000  1.00  3.00  3.41  2.85  3.05
 62  6740.    66139.    43855.    22284. 3.38    1000  1.00  2.97  3.38  2.82  3.01
 61  6620.    66824.    44003.    22822. 3.35    1000  1.00  2.93  3.35  2.79  2.98
 60  6500.    66602.    44048.    22554. 3.28    1000  1.00  2.95  3.28  2.78  2.92
 59  6380.    67801.    44529.    23272. 3.25    1000  1.00  2.91  3.25  2.75  2.89
 58  6260.    68058.    44747.    23311. 3.19    1000  1.00  2.92  3.19  2.75  2.83
 57  6140.    68027.    44713.    23313. 3.14    1000  1.00  2.92  3.14  2.76  2.77
 56  6020.    67162.    43603.    23559. 3.12    1000  1.00  2.85  3.12  2.68  2.76
 55  5900.    67582.    43448.    24134. 3.10    1000  1.00  2.80  3.10  2.66  2.72
 54  5780.    67212.    42710.    24502. 3.08    1000  1.00  2.74  3.08  2.58  2.71
 53  5660.    67796.    42760.    25036. 3.04    1000  1.00  2.71  3.04  2.53  2.69
 52  5540.    69412.    43374.    26037. 3.02    1000  1.00  2.67  3.02  2.51  2.65
 51  5420.    69236.    43115.    26120. 2.97    1000  1.00  2.65  2.97  2.50  2.60
 50  5300.    68101.    42107.    25994. 2.94    1000  1.00  2.62  2.94  2.43  2.58
 49  5180.    67835.    42034.    25801. 2.88    1000  1.00  2.63  2.88  2.43  2.52
 48  5060.    66722.    40914.    25808. 2.85    1000  1.00  2.59  2.85  2.41  2.48
 47  4940.    67279.    41391.    25887. 2.79    1000  1.00  2.60  2.79  2.40  2.42
 46  4820.    68853.    43083.    25770. 2.69    1000  1.00  2.67  2.69  2.42  2.35
 45  4700.    70758.    43895.    26864. 2.65    1000  1.00  2.63  2.65  2.38  2.31
 44  4580.    69898.    43003.    26896. 2.62    1000  1.00  2.60  2.62  2.35  2.27
 43  4460.    66817.    40856.    25961. 2.58    1000  1.00  2.57  2.58  2.32  2.23
 42  4340.    65191.    39388.    25803. 2.55    1000  1.00  2.53  2.55  2.28  2.20
 41  4220.    63781.    38345.    25435. 2.51    1000  1.00  2.51  2.51  2.25  2.15
 40  4100.    62502.    37939.    24563. 2.42    1000  1.00  2.54  2.42  2.28  2.06
 39  3980.    61201.    37451.    23751. 2.34    1000  1.00  2.58  2.34  2.29  1.99
 38  3860.    61239.    36596.    24643. 2.34    1000  1.00  2.49  2.34  2.21  1.97
 37  3740.    64453.    37114.    27339. 2.36    1000  1.00  2.36  2.36  2.11  1.98
 36  3620.    70452.    38736.    31715. 2.34    1000  1.00  2.22  2.34  1.99  1.96
 35  3500.    70609.    40518.    30092. 2.18    1000  1.00  2.35  2.18  2.04  1.84
 34  3380.    69752.    41793.    27959. 2.04    1000  1.00  2.49  2.04  2.12  1.71
 33  3260.    69190.    41716.    27475. 1.97    1000  1.00  2.52  1.97  2.11  1.65
 32  3140.    63752.    37773.    25979. 1.93    1000  1.00  2.45  1.93  2.04  1.62
